text,polarity,sentiment,final_sentiment
Just asked Grok 3 a physics question and got a clear answer in seconds. xAI is cooking something special.,0.2285714286,positive,positive
Groks sarcasm mode is wild. Roasted me better than my friends ever could.,0.3,positive,positive
Why is Grok 3 so good at explaining memes? This AI gets X culture.,0.7,positive,positive
Tried Groks DeepSearch. Found stuff Google missed. Impressed.,1.0,positive,positive
Grok just summarized a 50-page PDF for me. Im never reading again.,0.0,neutral,positive
Elons AI Grok is out here fact-checking X posts in real-time. Chaos.,0.0,neutral,positive
Grok 3s reasoning is next-level. Solved my math homework lol.,0.8,positive,positive
Asked Grok about aliens. Got a witty reply and a conspiracy rundown.,0.5,positive,positive
Groks voice mode is coming? I need this AI to narrate my life.,0.0,neutral,neutral
"Grok 3 beat ChatGPT in a debate I ran. Sorry, OpenAI.",-0.5,negative,positive
Groks unfiltered takes are refreshing. No corporate BS here.,0.25,positive,positive
Just had Grok analyze an X profile. Scary accurate insights.,-0.05,neutral,positive
Grok 3s image generation is dope. Made me a cyberpunk cat.,0.0,neutral,positive
Grok explained quantum computing like Im 5. I get it now.,0.0,neutral,positive
This AI Grok is too smart. Im jealous of a robot.,0.2142857143,positive,positive
"Grok roasted Elon when I asked. No loyalty, I love it.",0.5,positive,positive
Grok 3s real-time X search is insane. News before its news.,-1.0,negative,positive
Asked Grok a spicy question. Got a spicier answer. Wow.,0.1,neutral,positive
Groks humor is Hitchhikers Guide vibes. xAI nailed it.,0.0,neutral,positive
Grok just debunked a viral X post in 2 sentences. Hero.,0.0,neutral,positive
"Grok 3s coding help saved my project. I owe you, xAI.",0.0,neutral,positive
Groks take on politics is oddly neutral. Refreshing.,0.1666666667,positive,positive
Grok analyzed a meme I posted and explained why its funny.,0.25,positive,neutral
Grok 3s AIME 2025 scores are wild. Math nerds rejoice.,0.1,neutral,positive
Groks voice mode better sound like Douglas Adams or I riot.,0.45,positive,neutral
Grok just turned my rant into a haiku. This AI is art.,0.0,neutral,positive
Grok 3s web search found a rare article in seconds. Clutch.,0.3,positive,positive
Groks unhinged mode is unhinged. Im crying laughing.,-0.2,negative,positive
Grok explained my X timeline better than I could. Spooky.,0.5,positive,positive
Grok 3s reasoning beats o3-mini? xAI flexing hard.,-0.2916666667,negative,positive
Grok generated an image of my dog as a knight. 10/10.,0.0,neutral,positive
Groks real-time X data is like a superpower. Addictive.,0.0,neutral,positive
Asked Grok about the meaning of life. Got 42. Perfect.,1.0,positive,positive
